Method,N,IN_FEATURES,OUT_FEATURES,Approx_rate,MSE_Loss
A3,128,32,16,0.2,"(0.06979309767484665, 0.0026929969899356365)"
A3,128,32,16,0.5,"(0.01194402202963829, 0.00043856652337126434)"
A3,128,32,16,0.8,"(0.0007516650948673487, 2.778179077722598e-05)"
A3,128,32,16,0.9,"(8.632118988316506e-05, 3.1473880426347023e-06)"
A3,128,32,16,0.95,"(4.503767195274122e-05, 1.6753951967984904e-06)"
A3,128,32,32,0.2,"(0.07154570519924164, 0.0019306286703795195)"
A3,128,32,32,0.5,"(0.009767450392246246, 0.0002572669764049351)"
A3,128,32,32,0.8,"(0.0005096450331620872, 1.3602509170596022e-05)"
A3,128,32,32,0.9,"(8.61541775520891e-05, 2.2581357370654587e-06)"
A3,128,32,32,0.95,"(1.2332587175478693e-05, 3.261500580720167e-07)"
A3,128,32,64,0.2,"(0.0745997428894043, 0.001381759182550013)"
A3,128,32,64,0.5,"(0.00957045890390873, 0.0001859605108620599)"
A3,128,32,64,0.8,"(0.00032091655884869397, 6.063296041247668e-06)"
A3,128,32,64,0.9,"(4.074184107594192e-05, 7.819931511221512e-07)"
A3,128,32,64,0.95,"(8.227480975619983e-06, 1.5829829180802335e-07)"
Row,128,32,16,0.2,"(0.16121120750904083, 0.006283666007220745)"
Row,128,32,16,0.5,"(0.05026375502347946, 0.0018208977999165654)"
Row,128,32,16,0.8,"(0.008109144866466522, 0.0003149856929667294)"
Row,128,32,16,0.9,"(0.0020245083142071962, 7.59326430852525e-05)"
Row,128,32,16,0.95,"(0.0004487929691094905, 1.666954813117627e-05)"
Row,128,32,32,0.2,"(0.16933603584766388, 0.004491075407713652)"
Row,128,32,32,0.5,"(0.04603883624076843, 0.0012207842664793134)"
Row,128,32,32,0.8,"(0.008958728052675724, 0.00024191278498619795)"
Row,128,32,32,0.9,"(0.0021640576887875795, 5.938437607255764e-05)"
Row,128,32,32,0.95,"(0.0004750846710521728, 1.2495238479459658e-05)"
Row,128,32,64,0.2,"(0.17790624499320984, 0.003275246825069189)"
Row,128,32,64,0.5,"(0.04494377225637436, 0.000841377826873213)"
Row,128,32,64,0.8,"(0.008331973105669022, 0.0001588807936059311)"
Row,128,32,64,0.9,"(0.0022751863580197096, 4.226439705234952e-05)"
Row,128,32,64,0.95,"(0.0005856565549038351, 1.0761254998215009e-05)"
